application_type,applications,with_conditions,refused
"Discharge Condition Reg3",25,0,0
"OPDC Consultation by Other Boroughs",25,0,4
"Prior Approval: Change of use - offices to dwellinghouses",25,0,10
"Variation / Removal of a condition Minor dwellings",25,0,6
"Application for Demolition",24,0,0
"Approval under Reg 4",24,0,0
"Pre-Application Service 20 Days",24,0,1
"Prior Approval B1c to C3",24,0,14
"Prior Notification for Change of Use",24,0,8
"Section 191Cert Existing Lawful Use/Dev",24,0,3
(),23,0,0
"Deemed (Reg3 Councils own Development)",23,0,1
"Demolition Prior Approval Determination",23,15,0
"Listed Building Consent Application",23,2,1
"Local Authority Development",23,0,0
"Minor material Amendment",23,0,3
"Prior Approval - All others",23,0,13
"Prior Approval: Change of use from Commercial, Business and Service (Use Class E) to Dwellinghouses (Use Class C3)",23,2,11
"Prior approval - new dwellings",23,2,5
"Certificate of Lawful Development Existing",22,0,1
"Conservation Area Consent",22,0,0
"Consultation by other Borough\LDDC",22,0,2
"Full Major Application",22,0,1
Outline,22,3,2
"PA - Demolition",22,0,2
"PA - Storage to Dwellinghouses (Class C3)",22,0,7
"Prior approval for demolition",22,0,0
"Certificate of Lawfulness - proposed",21,0,0
"Outline Planning Permission (All Matters Reserved)",21,0,9
"Pre-Application Service 15 Days",21,0,1
"Pre-Application Service 30 Days",21,0,0
"Prior Notification (Demolition)",21,1,0
"Prior Notification (Retail/bet to As/Le)",21,0,6
"Removal or Variation of a Condition following Grant of Planning Permission",21,7,3
"Reserved Matters DD Submission 1",21,0,1
"Reserved matters to Outline Permission",21,0,0
"CA (Control of Advert)",20,0,0
"Council Regulation 3",20,1,0
"E-uses/Betting/Payday to Mixed",20,0,5
"Full Planning (Council's Own)",20,18,0
"Prior Notification - Larger Household Extension",20,1,0
"S.73 Vary/remove conds/minor alterations",20,0,0
"VARAOMIN - Variation / Removal of a condition all other minor",20,0,2
"Approval Of Reserved Matters",19,5,0
"Class MA change of use Prior Approval",19,3,0
"GPD P3M - A1 A2 Bet Loan Mixed to C3",19,0,10
"Outline Planning Application",19,3,8
"Prior Approval (Miscellaneous Acts)",19,0,1
"Workshop Prior Approval",19,0,13
"Invalid Application",18,0,0
"PA-Dwellings on detached blocks of flats",18,0,6
"Prior Approval (A1, A2, SG to A3)",18,7,9
"Prior Approval for change to A3",18,0,11
"Prior Approval: Change of use - retail/takeaway to dwellinghouses",18,0,12
"Retail and specified Sui Generis to Resi",18,0,9
